Feature,Coefficient,Abs_Coefficient
HARVEST NO. 1,-0.14203880148235318,0.14203880148235318
PRODUCTION 1,0.09123907022842519,0.09123907022842519
DISTANCE/m,0.04214115366519101,0.04214115366519101
Area (Ha 1),0.030546002506193153,0.030546002506193153
PRODUCTION 1/Ha,0.025525899902545352,0.025525899902545352
DURATIONMONTHS,0.02220641181741006,0.02220641181741006
VEGETATION%,0.019576240519511696,0.019576240519511696
INITIAL WEIGHT/kg,-0.008241284931143148,0.008241284931143148
PENS,0.006333911981644158,0.006333911981644158
AVERAGE_DEPTH/ft,-0.004748461483892785,0.004748461483892785
DENSITY 1 (total stock/Ha),-0.004448739436778744,0.004448739436778744
